ID	InputText	Entity	EntityLabel	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score	Document
DYqjcWUniH	Health, especially for vulnerable Children.14Pediatricians can screen for climate risks, just as we screen for social determinants of Health.15This section guides Pediatricians in including Climate-Sensitive environmental determinants of health /C0Such as energy security and displacement /C0 alongside basic assessments of food security and housing in well child checks . Fig.Aspects of Climate-Informed primary care Pediatrics . 2 Curr probl Pediatr Adolesc health care, June 2021	Health.15This	CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
VnQtou3Zzi	Food security and water source the Covid-19 pandemic resulted in a rapid rise in food insecurity for American children, especially children in low-income Households.16Climate change also contributes to food insecurity through disruption of food supply chains, crop destruction and increased food Costs.9Food security screening (Identiﬁcation of families who experience food insecurity), and connecting families with local School-Based or social support Programs—As recommended by the Aap— remain paramount due to the climate Crisis.17 beyond food security, climate threatens water security . climate change stresses water s Upplies and infrastructure and can cause water shortages . extreme weather disrupts water systems and Mobilizes Contaminants into water										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
62tHbe7XUD	Supplies . flooding can also overwhelm combined sewage systems (with a common pipe for sewage and Rainwater) which serve more than 700 communities and 40 million Americans . When rainfall exceeds the system capacity, risks of water borne diseases Increase.18 drought and warmer Temperatur es also deteriorate water Quality.9,19Families who use well water are particularly at Risk.20Pediatric screening often includes questions on water Fluoridation and, in some communities, water source (i.e., well water). These questions inform counseling on Fluoride, Wate R-Borne disease risks, and lead exposure . They also Faci Litate discussion on how to assure safe drinking water (E.G . When advisories to boil water are issued) in the climate crisis . Though families need to stay informed on local water	Fluoride	CHEMICAL	C0016327	Fluorides	Inorganic salts of hydrofluoric acid, HF, in which the fluorine atom is in the -1 oxidation state. (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed) Sodium and stannous salts are commonly used in dentifrices.	T121,T197	Pharmacologic Substance,Inorganic Chemical	Fluoride Ion, Fluoride-containing product, fluoride, fluorides, Product containing fluoride (medicinal product), Fluorides, fluoride (FL), Fluoride, Fluoride, NOS, Fluoride salt, NOS, Fluoride salt, FLUORIDE, fl, fluoride products, Fluoride (substance)	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
9ven4Tq2Vo	Quality alerts, Filtered tap water is usually safe for consumption . In most communities with piped water Sys-Tems, tap water is of equal or superior quality to bottled water . 21Although Americans spend billions of dollars on bottled water each year, bottled water is not without risks, as demonstrated by a recent hepatitis a outbreak among users of a brand of bottled alkaline Water.22 using tap water instead of bottled water helps Preventcaries, reduces greenhouse gas emissions, reduces plastic pollution, and can save money for other essential household expenditures, such as food . 23Pediatricians ’ water safety and consumption guidance can be informed by climate change effects on water security . housing security the health of Unhoused and Unstably housed Chil-	hepatitis	DISEASE	C0019158	Hepatitis	INFLAMMATION of the LIVER.	T047	Disease or Syndrome	HEPATITIS, Hepatitis, NOS, Hepatitides, HEPATITIS NONSPECIFIC, Hepatitis, unspecified, nonspecific hepatitis, Inflammatory disorder of liver, Liver inflammation, Inflammatory disease of liver, HEPATITIS NOS, Inflammatory liver disease, inflammatory liver disease, unspecified hepatitis, hepatitides, hepatitis, Hepatitis, Inflammatory disease of liver (disorder)	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
UnFSMzXodZ	Dren is at greater risk from Climate-Driven extreme weather Events.9When screening for housing insecurity, questions related to leaks or standing water in basements, air conditioning (availability Andaffordability), and heating systems can be included . For Renters with concerns about molds, Pediatricians may refer to legal aid resources to support Remediation.24Homeowners are eligible for the U.S. Department of energy ’ s (DOE) Weatherization assistance program (Wap) if they are at or below 200% of the poverty income guidelines, or if they receive supplemental security income or aid to families with dependent Children.25Pediatricians may refer Qualiﬁed owners to these programs that essentially seal the home ’ s envelope, reducing mold . energy security	housing insecurity	DISEASE	C5541424	Housing Instability	This encompasses a number of challenges, such as having trouble paying rent, living in overcrowded conditions, moving frequently, living with friends or relatives out of necessity, being unhoused, or spending the bulk of household income (>50%) on housing. (https://www.healthypeople.gov/2020/topics-objectives/topic/social-determinants-health/interventions-resources/housing-instability)	T033	Finding	Housing Insecurity, Housing instability (finding), Instability, Housing, Housing insecurity (finding), Housing Insecurities, Insecurity, Housing, Housing instability, Housing insecurity	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
UnFSMzXodZ	Dren is at greater risk from Climate-Driven extreme weather Events.9When screening for housing insecurity, questions related to leaks or standing water in basements, air conditioning (availability Andaffordability), and heating systems can be included . For Renters with concerns about molds, Pediatricians may refer to legal aid resources to support Remediation.24Homeowners are eligible for the U.S. Department of energy ’ s (DOE) Weatherization assistance program (Wap) if they are at or below 200% of the poverty income guidelines, or if they receive supplemental security income or aid to families with dependent Children.25Pediatricians may refer Qualiﬁed owners to these programs that essentially seal the home ’ s envelope, reducing mold . energy security	leaks	DISEASE	C0400997	Leakage of bile		T046	Pathologic Function	bile leakage, Leakage of bile (disorder), bile leaks, Bile leak, bile leak, bile leaking	0.86	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
AmeKpghBp8	Home Weatherization also addresses energy insecurity by reducing energy Consumpti on, saving money on utility bills, and, as a result, increasing disposable income for necessities such as food and Medicine.26Low-Income households spend 16.3% of annual income on energy compared to 3.5% for other Households.27Black and Hispanic families are more likely to experience energy Insecurity,28And the southeast U.S. has the greatest proportion of families struggling to pay for energy on a month-to-month Basis.29Energy insecurity can be Lifethreatening when families lose access to heating or Airconditioning in harsh conditions . by screening for energy insecurity, Pediatricians can support health by connecting families with local resources or by providing Documenta-	Basis.29Energy	CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
e6Eg8MFbxH	Tion of medical conditions that place individuals in the household At-Risk . Pediatricians can refer Qualiﬁed At-Risk families to local low income home energy assistance programs (Liheap) programs . Many States also provide protections against utility s Hut-Offs for individuals with health conditions and for families with infants, and Pediatricians can provide medical Certiﬁcation to avert these Shut-Offs and resulting health Harms . 30 mental health screening climate change erodes mental health in various ways, from climate anxiety to acute trauma to distant Sequelae of Displacement.31Disasters increase Caregiver stress and the risk of Non-Accidental trauma in Infants.32In older children, mental health concerns associated with extreme	anxiety	DISEASE	C0003467	Anxiety	Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.	T048	Mental or Behavioral Dysfunction	anxious, Angst, anxieties, Anxiety, Anxiety Reaction, Feel anxious, Excessive, persistent worry and fear, unfocused anxiety, Anxiety (finding), angst, Anxious behavior, anxiety, Feeling anxious, Anxiety reaction, REACTION ANXIETY, ANXIETY REACTION, Anxiousness, Anxious, anxiousness, anxiety reaction, ANXIETY	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
e6Eg8MFbxH	Tion of medical conditions that place individuals in the household At-Risk . Pediatricians can refer Qualiﬁed At-Risk families to local low income home energy assistance programs (Liheap) programs . Many States also provide protections against utility s Hut-Offs for individuals with health conditions and for families with infants, and Pediatricians can provide medical Certiﬁcation to avert these Shut-Offs and resulting health Harms . 30 mental health screening climate change erodes mental health in various ways, from climate anxiety to acute trauma to distant Sequelae of Displacement.31Disasters increase Caregiver stress and the risk of Non-Accidental trauma in Infants.32In older children, mental health concerns associated with extreme	trauma	DISEASE	C0043251	Wounds and Injuries	Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity.	T037	Injury or Poisoning	Trauma, Injuries, Wounds, Injury and Wounds, injuries wound, injury traumatic, Injuries and Wounds, Wounds and Injury, Wounds and injuries, injuries wounds, Traumatic injuries, Wounds and Injuries, Wounds, Injury, Traumas, wounds injuries	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
e6Eg8MFbxH	Tion of medical conditions that place individuals in the household At-Risk . Pediatricians can refer Qualiﬁed At-Risk families to local low income home energy assistance programs (Liheap) programs . Many States also provide protections against utility s Hut-Offs for individuals with health conditions and for families with infants, and Pediatricians can provide medical Certiﬁcation to avert these Shut-Offs and resulting health Harms . 30 mental health screening climate change erodes mental health in various ways, from climate anxiety to acute trauma to distant Sequelae of Displacement.31Disasters increase Caregiver stress and the risk of Non-Accidental trauma in Infants.32In older children, mental health concerns associated with extreme	Displacement.31Disasters increase Caregiver stress	DISEASE								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
e6Eg8MFbxH	Tion of medical conditions that place individuals in the household At-Risk . Pediatricians can refer Qualiﬁed At-Risk families to local low income home energy assistance programs (Liheap) programs . Many States also provide protections against utility s Hut-Offs for individuals with health conditions and for families with infants, and Pediatricians can provide medical Certiﬁcation to avert these Shut-Offs and resulting health Harms . 30 mental health screening climate change erodes mental health in various ways, from climate anxiety to acute trauma to distant Sequelae of Displacement.31Disasters increase Caregiver stress and the risk of Non-Accidental trauma in Infants.32In older children, mental health concerns associated with extreme	Non-Accidental trauma	DISEASE	C2229984	History of non-accidental trauma		T033	Finding		0.856	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
e6Eg8MFbxH	Tion of medical conditions that place individuals in the household At-Risk . Pediatricians can refer Qualiﬁed At-Risk families to local low income home energy assistance programs (Liheap) programs . Many States also provide protections against utility s Hut-Offs for individuals with health conditions and for families with infants, and Pediatricians can provide medical Certiﬁcation to avert these Shut-Offs and resulting health Harms . 30 mental health screening climate change erodes mental health in various ways, from climate anxiety to acute trauma to distant Sequelae of Displacement.31Disasters increase Caregiver stress and the risk of Non-Accidental trauma in Infants.32In older children, mental health concerns associated with extreme	Infants.32In	CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
wJw9dthM4L	Weather events include depression, anxiety, sleep disturbance, Post-Traumatic stress D Isorder (Ptsd), acute stress reactions, panic disorder, Phobias, and adjustment Disorder.33Symptoms of Ptsd overlap with other childhood conditions such as Attention-De Ficit/Hyperactivity disorder (Adhd), Oppositional Deﬁant DIS order, conduct disorder, or depression, and may be Misdiagnosed if not intentionally considered in the wake of a Disaster.34Although Curr probl Pediatr Adolesc health care, June 2021 3	depression	DISEASE	C0011570	Mental Depression	Depressive states usually of moderate intensity in contrast with MAJOR DEPRESSIVE DISORDER present in neurotic and psychotic disorders.	T048	Mental or Behavioral Dysfunction	DEPRESSED STATE, depression (emotion), depression (disease), depression, Depression NOS, monopolar depression, DEPRESSION, Depression, Mental, Depressive state NOS, Depression, mental, DEPRESSION MENTAL, mental depression, Depression, mental function, Depression, NOS, DEPRESSION PSYCHIC, Depressions, Depression	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
wJw9dthM4L	Weather events include depression, anxiety, sleep disturbance, Post-Traumatic stress D Isorder (Ptsd), acute stress reactions, panic disorder, Phobias, and adjustment Disorder.33Symptoms of Ptsd overlap with other childhood conditions such as Attention-De Ficit/Hyperactivity disorder (Adhd), Oppositional Deﬁant DIS order, conduct disorder, or depression, and may be Misdiagnosed if not intentionally considered in the wake of a Disaster.34Although Curr probl Pediatr Adolesc health care, June 2021 3	anxiety	DISEASE	C0003467	Anxiety	Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.	T048	Mental or Behavioral Dysfunction	anxious, Angst, anxieties, Anxiety, Anxiety Reaction, Feel anxious, Excessive, persistent worry and fear, unfocused anxiety, Anxiety (finding), angst, Anxious behavior, anxiety, Feeling anxious, Anxiety reaction, REACTION ANXIETY, ANXIETY REACTION, Anxiousness, Anxious, anxiousness, anxiety reaction, ANXIETY	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
wJw9dthM4L	Weather events include depression, anxiety, sleep disturbance, Post-Traumatic stress D Isorder (Ptsd), acute stress reactions, panic disorder, Phobias, and adjustment Disorder.33Symptoms of Ptsd overlap with other childhood conditions such as Attention-De Ficit/Hyperactivity disorder (Adhd), Oppositional Deﬁant DIS order, conduct disorder, or depression, and may be Misdiagnosed if not intentionally considered in the wake of a Disaster.34Although Curr probl Pediatr Adolesc health care, June 2021 3	sleep disturbance	DISEASE	C0037317	Sleep disturbances	An abnormality of sleep including such phenomena as 1) insomnia/hypersomnia, 2) non-restorative sleep, 3) sleep schedule disorder, 4) excessive daytime somnolence, 5) sleep apnea, and 6) restlessness. [HPO:curators]	T184	Sign or Symptom	Disturbance in sleep behaviour, NOS, Sleep disturbances, Sleeping disturbances, Sleep dysfunction, SLEEP DISTURBANCE, Disturbance in sleep behavior, NOS, sleep disturbances, Sleep disturbance, unspecified, Disturbance in sleep behaviour, Disturbance in sleep behavior (finding), disturbances, sleep, Trouble sleeping, Difficulty sleeping, Disturbance in sleep behavior, Sleep disturbance, SLEEP DISTURBED	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
wJw9dthM4L	Weather events include depression, anxiety, sleep disturbance, Post-Traumatic stress D Isorder (Ptsd), acute stress reactions, panic disorder, Phobias, and adjustment Disorder.33Symptoms of Ptsd overlap with other childhood conditions such as Attention-De Ficit/Hyperactivity disorder (Adhd), Oppositional Deﬁant DIS order, conduct disorder, or depression, and may be Misdiagnosed if not intentionally considered in the wake of a Disaster.34Although Curr probl Pediatr Adolesc health care, June 2021 3	panic disorder	DISEASE	C0030319	Panic Disorder	A type of anxiety disorder characterized by unexpected panic attacks that last minutes or, rarely, hours. Panic attacks begin with intense apprehension, fear or terror and, often, a feeling of impending doom. Symptoms experienced during a panic attack include dyspnea or sensations of being smothered; dizziness, loss of balance or faintness; choking sensations; palpitations or accelerated heart rate; shakiness; sweating; nausea or other form of abdominal distress; depersonalization or derealization; paresthesias; hot flashes or chills; chest discomfort or pain; fear of dying and fear of not being in control of oneself or going crazy. Agoraphobia may also develop. Similar to other anxiety disorders, it may be inherited as an autosomal dominant trait.	T048	Mental or Behavioral Dysfunction	panic anxiety syndrome, Panic disorder (disorder), panic disorder, Panic Disorders, Disorders, Panic, panic disorders, Panic disorders, Panic disorder, Panic Disorder, PANIC DISORDER, Disorder, Panic, Episodic paroxysmal anxiety disorder	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
wJw9dthM4L	Weather events include depression, anxiety, sleep disturbance, Post-Traumatic stress D Isorder (Ptsd), acute stress reactions, panic disorder, Phobias, and adjustment Disorder.33Symptoms of Ptsd overlap with other childhood conditions such as Attention-De Ficit/Hyperactivity disorder (Adhd), Oppositional Deﬁant DIS order, conduct disorder, or depression, and may be Misdiagnosed if not intentionally considered in the wake of a Disaster.34Although Curr probl Pediatr Adolesc health care, June 2021 3	Phobias	DISEASE	C0349231	Phobic anxiety disorder	Anxiety disorders in which the essential feature is persistent and irrational fear of a specific object, activity, or situation that the individual feels compelled to avoid. The individual recognizes the fear as excessive or unreasonable.	T048	Mental or Behavioral Dysfunction	Phobias, Neuroses, Phobic, Phobic Disorder, phobic neurosis, Phobia NOS, Phobia, PHOBIC NEUROSIS, Neurosis, phobic, phobic disorders, PHOBIC DISORDER, phobic disorder, Phobia (finding), Phobic anxiety disorder, Phobic disorder, abnormal fear, Phobic disorder (disorder), Phobic Neurosis, Phobic Disorders, Abnormal fear, PHOBIAS, phobia, Disorder, Phobic, Phobic disorders, Phobic neurosis, Phobia, unspecified, Phobia, NOS, PHOBIA, Phobic Neuroses	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
