InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.Synonyms	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.MappingScore
sA8DY6vEAH	Dermatophytosis	Dermatophytosis	ENTITY	C0011636	Dermatophytosis	A common fungal infection of the stratum corneum of the skin, hair, or nails by a dermatophyte. It is characterized by itching, inflammation, redness of the skin, small papular vesicles, central clearing, fissures, scaling, and/or hair loss in the affected area.	dermatophytosis, DERMATOPHYTOSES, dermatophytoses, Dermatophytosis, Dermatophycosis, DERMATOPHYTOSIS, Ringworm infection, Dermatophytosis (disorder), Dermatophytosis of unspecified site	T047	Disease or Syndrome	1.0
9XUGVdf3Bn	Legionellosis	Legionellosis	ENTITY	C0023240	Legionellosis	Infections with bacteria of the genus LEGIONELLA.	Legionella infection (disorder), LEGIONELLA INFECTIONS, Legionellosis, Legionella infection, NOS, Legionellosis, NOS, Legionella infection, Legionelloses, legionella infection, legionellosis	T047	Disease or Syndrome	1.0
hPRc5cwtN7	Contagious Pustular Dermatitis	Contagious Pustular Dermatitis	ENTITY	C0013570	Ecthyma, Contagious	An infectious dermatitis of sheep and goats, affecting primarily the muzzle and lips. It is caused by a poxvirus and may be transmitted to man.	orf, DERMATITIS, PUSTULAR, CONTAGIOUS, Dermatitides, Contagious Pustular, Virus Infection, Orf, Contagious Pustular Dermatitides, Pustular Dermatitis, Contagious, Orf Virus Infections, Contagious ecthyma of sheep, Sore mouth [ovine], Dermatitis, Contagious Pustular, Contagious pustular dermatitis, Orf, Infection, Orf Virus, Orf virus disease, contagious ecthyma, Bovine pustular stomatitis, Orf Virus Infection, Contagious Pustular Dermatitis, Contagious ovine ecthyma, ORF, Infections, Orf Virus, Sore mouth (ovine), Ecthyma contagiosum, Contagious pustular stomatitis, Pustular Dermatitides, Contagious, Virus Infections, Orf, Contagious Ecthyma, Contagious ecthyma, Ecthyma, Contagious, ECTHYMA INFECTIOSUM, ECTHYMA CONTAGIOSUM, Orf virus disease (disorder)	T047	Disease or Syndrome	1.0
ApGbZmRcCM	Commensal Bifidobacteriales infectious disease	Commensal	ENTITY	C0231202	Symbiotic		commensals, Symbiotic, Commensal, commensal, symbiotic	T169	Functional Concept	1.0
ApGbZmRcCM	Commensal Bifidobacteriales infectious disease	Bifidobacteriales	ENTITY	C1037103	Bifidobacteriales		Order Bifidobacteriales (organism), Order Bifidobacteriales, Bifidobacteriales	T007	Bacterium	1.0
ApGbZmRcCM	Commensal Bifidobacteriales infectious disease	infectious disease	ENTITY	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	T047	Disease or Syndrome	1.0
ax6Rezepts	Renal tuberculosis	Renal tuberculosis	ENTITY	C0041328	Tuberculosis, Renal	Infection of the KIDNEY with species of MYCOBACTERIUM.	tuberculosis kidney, kidney of tuberculosis, KIDNEY, TUBERCULOSIS, Tuberculous pyelonephritis, kidney tuberculosis, Tuberculosis of kidney (disorder), of kidney tuberculosis, Tuberculosis, Renal, tuberculosis renal, Renal Tuberculosis, renal tb, Tuberculosis of kidney, Kidneys--Tuberculosis, Tuberculosis of kidney, unspecified, RENAL TUBERCULOSIS, Tuberculous nephropathy, renal tuberculosis, Tuberculoses, Renal, TB - Renal tuberculosis, Renal Tuberculoses, Renal tuberculosis, kidneys tuberculosis	T047	Disease or Syndrome	1.0
6eUHPk6B4S	Discitis	Discitis	ENTITY	C0012624	Discitis	Inflammation of an INTERVERTEBRAL DISC or disk space which may lead to disk erosion. Until recently, discitis has been defined as a nonbacterial inflammation and has been attributed to aseptic processes (e.g., chemical reaction to an injected substance). However, recent studies provide evidence that infection may be the initial cause, but perhaps not the promoter, of most cases of discitis. Discitis has been diagnosed in patients following discography, myelography, lumbar puncture, paravertebral injection, and obstetrical epidural anesthesia. Discitis following chemonucleolysis (especially with chymopapain) is attributed to chemical reaction by some and to introduction of microorganisms by others.	Discitides, diskitis, Inflammatory discitis, Spondylodiscitides, Spondylodiskitides, spondylodiscitis, Spondylodiskitis, spondylodiskitis, Intervertebral discitis, Discitis, Spondylodiscitis, Discitis (disorder), Diskitides, discitis, Discitis, NOS, Diskitis	T047	Disease or Syndrome	1.0
pXzUSD6422	Central nervous system tuberculosis	Central nervous system tuberculosis	ENTITY	C0275904	Tuberculosis, Central Nervous System	Tuberculosis of the brain, spinal cord, or meninges (TUBERCULOSIS, MENINGEAL), most often caused by MYCOBACTERIUM TUBERCULOSIS and rarely by MYCOBACTERIUM BOVIS. The infection may be limited to the nervous system or coexist in other organs (e.g., TUBERCULOSIS, PULMONARY). The organism tends to seed the meninges causing a diffuse meningitis and leads to the formation of TUBERCULOMA, which may occur within the brain, spinal cord, or perimeningeal spaces. Tuberculous involvement of the vertebral column (TUBERCULOSIS, SPINAL) may result in nerve root or spinal cord compression. (From Adams et al., Principles of Neurology, 6th ed, pp717-20)	Unspecified tuberculosis of central nervous system, Tuberculosis of central nervous system, NOS, cns tuberculosis, Tuberculosis of central nervous system (disorder), Unspecified tuberculosis of central nervous system, unspecified, Central Nervous System Tuberculosis, Tuberculosis of central nervous system, Tuberculosis of central nervous system NOS	T047	Disease or Syndrome	1.0
KnGJExRPAt	Anaerobic Cellulitis	Anaerobic	ENTITY	C3641081	Anaerobic	A chemical process that does not require oxygen or occurs in the absence of oxygen.		T080	Qualitative Concept	1.0
KnGJExRPAt	Anaerobic Cellulitis	Cellulitis	ENTITY	C0007642	Cellulitis	An acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection of a wound, ulcer, or other skin lesions.	Cellulitis (disorder), CELLULITIS, Inflammation of subcutaneous tissue, Cellulitis (morphologic abnormality), cellulitis, Cellulitis, NOS, cellulitis nos, Subcutaneous tissue inflamed, Skin infection, Cellulitis, Cellulitis NOS	T047	Disease or Syndrome	1.0
hPxgZLWQiy	Monieziasis	Monieziasis	ENTITY	C0026414	Monieziasis	Infection of ruminants with tapeworms of the genus Moniezia.	Monieziases	T047	Disease or Syndrome	1.0
AaaPA5kJd2	Amebiasis	Amebiasis	ENTITY	C0002438	Amebiasis	Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur.	Amebiases, Disease caused by Endamoebidae, Amebic infection (disorder), Disease caused by Endamoebidae (disorder), Amebiasis NOS, Amoebic infection, amebiasis, AMEBIASIS, Amoebiasis, amebiases, Disease due to Endamoebidae, Amebic infection, amoebiasis, Amoebiases, Amebiasis, DISEASES DUE TO ENDAMOEBIDAE, Amebiasis, unspecified	T047	Disease or Syndrome	1.0
TpyxSis3Fd	Infective arthritis	Infective arthritis	ENTITY	C0003869	Arthritis, Infectious	Arthritis caused by BACTERIA; RICKETTSIA; MYCOPLASMA; VIRUSES; FUNGI; or PARASITES.	Infection-associated arthritis, Arthritis, Infectious, Pyoarthrosis, NOS, ARTHRITIS PYOGENIC, ARTHRITIS, PYOGENIC, Unspecified infective arthritis, site unspecified, ARTHRITIS, INFECTIOUS, PYARTHROSIS, Pyarthrosis, Pyogenic arthritis, infectious arthritis, ARTHRITIS SEPTIC, Infective arthritis, infective arthritis, INFECTIOUS ARTHRITIS, ARTHRITIS, PURULENT, Infective arthritis or polyarthritis NOS, Infectious Arthritis, SEPTIC ARTHRITIS, pyogenic arthritis, Infective Arthritis, arthritis infectious, Pyogenic arthritis, NOS, Pyoarthrosis, Infective arthritis (disorder), Septic Arthritis, Septic arthritis, Unspecified infective arthritis, Infectious arthritis, PYOGENIC ARTHRITIS, Infective arthritis, NOS, ARTHRITIS, SEPTIC	T047	Disease or Syndrome	1.0
DMAB8waxct	Bunyaviridae infectious disease	Bunyaviridae	ENTITY	C0006395	Bunyaviridae	A family of viruses, mainly arboviruses, consisting of a single strand of RNA. Virions are enveloped particles 90-120 nm diameter. The complete family contains over 300 members arranged in five genera: ORTHOBUNYAVIRUS; HANTAVIRUS; NAIROVIRUS; PHLEBOVIRUS; and TOSPOVIRUS.	Bunyaviridae, Family Bunyaviridae (organism), Bunyavirus, Family Bunyaviridae, Bunyavirus group	T005	Virus	1.0
DMAB8waxct	Bunyaviridae infectious disease	infectious disease	ENTITY	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	T047	Disease or Syndrome	1.0
4dPXa3BGSX	Oral tuberculosis	Oral tuberculosis	ENTITY	C0041323	Tuberculosis, Oral	Tuberculosis of the mouth, tongue, and salivary glands.	Oral tuberculosis (disorder), Oral Tuberculosis, Oral tuberculosis, Tuberculoses, Oral, Oral Tuberculoses	T047	Disease or Syndrome	1.0
ECqvXKVtu3	Plantar wart	Plantar wart	ENTITY	C0042548	Plantar wart	A wart in the plantar surface of the foot. It is caused by human papillomavirus.	Verruca plantaris, wart plantar, PLANTAR WARTS, Plantar warts, plantar's wart, verruca pedis, plantars wart, Plantar wart, verruca plantaris, warts plantar, VP - verruca pedis, plantar's warts, PLANTAR WART, Verruca plantaris (disorder), plantar wart, Plantar Warts, Verruca Plantaris, plantar warts, plantars warts, Verruca pedis	T047	Disease or Syndrome	1.0
5CsgUNBHEo	Dermatomycosis	Dermatomycosis	ENTITY	C0011630	Dermatomycoses	Superficial infections of the skin or its appendages by any of various fungi.	fungal infection of skin, skin fungus infection, Dermatophyte Infection, Dermatomycosis, cutaneous mycosis, DERMATOMYCOSIS, skin fungal disease, skin fungal infection, Skin Diseases, Fungal, diseases fungal skin, Dermal mycosis, FUNGAL DERMATITIS, Fungal dermatitis, NOS, Fungal dermatosis, DERMATITIS FUNGAL, Dermal mycosis, NOS, fungal infection skin, fungus infections skin, Dermatomycoses, Fungal dermatitis, Fungal Skin Diseases, fungal infections skin, Dermal mycosis (disorder), fungal dermatitis, Dermatomycosis, other and unspecified, epidermomycosis, DERMATITIS FUNGOID, Cutaneous mycosis, dermatomycosis, dermatomycoses, fungus infection skin, fungal skin disease, Fungal infections of skin, Dermatomycosis, unspecified, fungal skin infection, Cutaneous mycosis, NOS	T047	Disease or Syndrome	1.0
QxPvk7iQYp	Equine infectious anemia	Equine	ENTITY	C0019944	Equus caballus	Large, hoofed mammals of the family EQUIDAE. Horses are active day and night with most of the day spent seeking and consuming food. Feeding peaks occur in the early morning and late afternoon, and there are several daily periods of rest.	Horses, Domestic, Equine, NOS, stallions, Feral horse, Horse, domestic horse, stallion, Equine species, Equus caballus caballus, Equus caballus, Domestic Horses, Stallion, Equus caballus (organism), Horse, Domestic, Equus przewalskii forma caballus, Horses, Equus przewalskii f. caballus, Equine, Equine Species, horse, EQUINE SPECIES, equine, Domestic Horse	T015	Mammal	1.0
QxPvk7iQYp	Equine infectious anemia	infectious anemia	ENTITY	C0272105	Anemia due to infection		(non-specific) anaemia due to infection, infection anaemia, anemia infection, ANEMIAS DUE TO INFECTIONS, anemia infections, Anemia of infection, NOS, Anaemia due to infection, infection anemia, Anaemia of infection, NOS, Anemia due to infection (disorder)	T047	Disease or Syndrome	0.911
ceby9tCZDw	Rhinoscleroma	Rhinoscleroma	ENTITY	C0035468	Rhinoscleroma	A granulomatous disease caused by KLEBSIELLA RHINOSCLEROMATIS infection. Despite its name, this disease is not limited to the nose and NASOPHARYNX but may affect any part of the RESPIRATORY TRACT, sometimes with extension to the lip and the skin.	Scleroma, Nasal, scleroma, Scleroma, rhinoscleroma, Rhinoscleroma (disorder), RHINOSCLEROMA, Infection by Klebsiella rhinoscleromatis, Rhinoscleroma	T047	Disease or Syndrome	1.0
xo5PfYoPv2	Infectious Colitis	Infectious Colitis	ENTITY	C0277524	Infectious colitis	A viral or bacterial infectious process affecting the large intestine.	infectious colitis, infective colitis, Infectious Colitis, Infectious colitis, NOS, septic colitis, Septic colitis, Infectious colitis (disorder), Septic colitis, NOS, Infective colitis	T047	Disease or Syndrome	1.0
XKTnPH2hxJ	Infective Endocarditis	Infective Endocarditis	ENTITY	C0014121	Bacterial Endocarditis	Inflammation of the ENDOCARDIUM caused by BACTERIA that entered the bloodstream. The strains of bacteria vary with predisposing factors, such as CONGENITAL HEART DEFECTS; HEART VALVE DISEASES; HEART VALVE PROSTHESIS IMPLANTATION; or intravenous drug use.	infective endocarditis, Infective endocarditis, bacterial endocarditis, Endocarditides, Bacterial, be, Endocarditis, Bacterial, Bacterial endocarditis, NOS, Bacterial endocarditis, Endocarditis, infective NOS, Bacterial endocarditis (disorder), Bacterial Endocarditis, Endocarditis, bacterial, BE - Bacterial endocarditis, BACTERIAL ENDOCARDITIS, Bacterial Endocarditides, bacterial infection of the heart valve	T047	Disease or Syndrome	1.0
HtvjtK5ZEM	Genital herpes	Genital herpes	ENTITY	C0019342	Genital Herpes	Infection of the genitals (GENITALIA) with HERPES SIMPLEX VIRUS in either the males or the females.	Herpes Simplex Virus Genital Infection, Herpes Genitalis, HERPES GENITAL, HERPES GENITALIA, Genital herpes simplex, Genital herpes, unspecified, genital herpes simplex, Genital herpes simplex, NOS, genitals herpes, Genital herpes, Genital herpes simplex (disorder), genital hsv, Herpes genitalis, GENITAL HERPES, Herpes Simplex, Genital, Genital Herpes Simplex, HERPES GENITALIS, herpes genitalis, simplex genital herpes, Genital Herpes, Herpes, Genital, genital herpes, venereal herpes	T047	Disease or Syndrome	1.0
Ybhy77xhLo	Septic Peritonitis	Septic Peritonitis	ENTITY	C0341503	Bacterial peritonitis	Peritonitis that is caused by a bacterial infection.	Septic peritonitis, bacterial peritonitis, Bacterial Peritonitis, Bacterial peritonitis, Bacterial peritonitis (disorder)	T047	Disease or Syndrome	1.0
Npg5KdqN6e	Kaposi's Sarcoma	Kaposi's Sarcoma	ENTITY	C0036220	Kaposi Sarcoma	A multicentric, malignant neoplastic vascular proliferation characterized by the development of bluish-red cutaneous nodules, usually on the lower extremities, most often on the toes or feet, and slowly increasing in size and number and spreading to more proximal areas. The tumors have endothelium-lined channels and vascular spaces admixed with variably sized aggregates of spindle-shaped cells, and often remain confined to the skin and subcutaneous tissue, but widespread visceral involvement may occur. Kaposi's sarcoma occurs spontaneously in Jewish and Italian males in Europe and the United States. An aggressive variant in young children is endemic in some areas of Africa. A third form occurs in about 0.04% of kidney transplant patients. There is also a high incidence in AIDS patients. (From Dorland, 27th ed & Holland et al., Cancer Medicine, 3d ed, pp2105-7) HHV-8 is the suspected cause.	KS - Kaposi's sarcoma, Multiple haemorrhagic sarcoma, KAPOSIS SARCOMA, KAPOSI CANCER, SARCOMA, Kaposi's Sarcoma, Sarcoma, Kaposi, Kaposi Sarcoma, Multiple hemorrhagic sarcoma, Skin cancer, Kaposi sarcoma, SARCOMA, MULTIPLE IDIOPATHIC HEMORRHAGIC, Sarcoma, Kaposi's, Kaposi's sarcoma, unspecified, Kaposi's sarcoma (clinical), Kaposi's sarcoma, unspecified site, ks, sarcoma, Kaposi's, Kaposi sarcoma, Multiple Idiopathic Pigmented Hemangiosarcoma, sarcoma, multiple hemorrhagic, KAPOSI SARCOMA, Kaposi's sarcoma, kaposi sarcoma, multiple hemorrhagic sarcoma, KS, ENDOTHELIOSARCOMA, kaposi's sarcoma, Kaposi's sarcoma (disorder), HHV8, Kaposi sarcoma (morphologic abnormality), Kaposis Sarcoma, Multiple Hemorrhagic Sarcoma, HHV 8	T191	Neoplastic Process	1.0
Dos6tGVfgY	Parvoviridae infectious disease	Parvoviridae	ENTITY	C0030617	Parvoviridae	A family of very small DNA viruses containing a single molecule of single-stranded DNA and consisting of two subfamilies: PARVOVIRINAE and DENSOVIRINAE. They infect both vertebrates and invertebrates.	Parvoviridae, Family Parvoviridae (organism), Picodnaviruses, parvoviridae, Family Parvoviridae	T005	Virus	1.0
Dos6tGVfgY	Parvoviridae infectious disease	infectious disease	ENTITY	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	T047	Disease or Syndrome	1.0
PfSurWunt9	Staphylococcal pneumonia	Staphylococcal pneumonia	ENTITY	C0032308	Staphylococcal Pneumonia	Pneumonia caused by infections with bacteria of the genus STAPHYLOCOCCUS, usually with STAPHYLOCOCCUS AUREUS.	Staphylococcal Pneumonias, Pneumonia due to Staphylococcus, Staphylococcal pneumonia (disorder), Staphylococcal Pneumonia, PNEUMONIA STAPHYLOCOCCAL, STAPHYLOCOCCAL PNEUMONIA, Pneumonia, Staphylococcal, Pneumonia due to Staphylococcus, unspecified, pneumonia staphylococcal, Staphylococcal pneumonia, PNEUMONIA, STAPHYLOCOCCAL, staphylococcal pneumonia, Pneumonias, Staphylococcal	T047	Disease or Syndrome	1.0
