InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.Synonyms	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.MappingScore
GUzuV6HTbN	Legionellosis	Legionellosis	DISEASE	C0023240	Legionellosis	Infections with bacteria of the genus LEGIONELLA.	Legionella infection (disorder), LEGIONELLA INFECTIONS, Legionellosis, Legionella infection, NOS, Legionellosis, NOS, Legionella infection, Legionelloses, legionella infection, legionellosis	T047	Disease or Syndrome	1.0
AyJ2VapaUF	Contagious Pustular Dermatitis	Pustular Dermatitis	DISEASE	C3670462	Pustular dermatitis		Pustular dermatitis (disorder)	T184	Sign or Symptom	1.0
cEB7EVHUeR	Renal tuberculosis	Renal tuberculosis	DISEASE	C0041328	Tuberculosis, Renal	Infection of the KIDNEY with species of MYCOBACTERIUM.	tuberculosis kidney, kidney of tuberculosis, KIDNEY, TUBERCULOSIS, Tuberculous pyelonephritis, kidney tuberculosis, Tuberculosis of kidney (disorder), of kidney tuberculosis, Tuberculosis, Renal, tuberculosis renal, Renal Tuberculosis, renal tb, Tuberculosis of kidney, Kidneys--Tuberculosis, Tuberculosis of kidney, unspecified, RENAL TUBERCULOSIS, Tuberculous nephropathy, renal tuberculosis, Tuberculoses, Renal, TB - Renal tuberculosis, Renal Tuberculoses, Renal tuberculosis, kidneys tuberculosis	T047	Disease or Syndrome	1.0
bhwiqjNR4H	Discitis	Discitis	DISEASE	C0012624	Discitis	Inflammation of an INTERVERTEBRAL DISC or disk space which may lead to disk erosion. Until recently, discitis has been defined as a nonbacterial inflammation and has been attributed to aseptic processes (e.g., chemical reaction to an injected substance). However, recent studies provide evidence that infection may be the initial cause, but perhaps not the promoter, of most cases of discitis. Discitis has been diagnosed in patients following discography, myelography, lumbar puncture, paravertebral injection, and obstetrical epidural anesthesia. Discitis following chemonucleolysis (especially with chymopapain) is attributed to chemical reaction by some and to introduction of microorganisms by others.	Discitides, diskitis, Inflammatory discitis, Spondylodiscitides, Spondylodiskitides, spondylodiscitis, Spondylodiskitis, spondylodiskitis, Intervertebral discitis, Discitis, Spondylodiscitis, Discitis (disorder), Diskitides, discitis, Discitis, NOS, Diskitis	T047	Disease or Syndrome	1.0
jpySsJfv3D	Central nervous system tuberculosis	Central nervous system tuberculosis	DISEASE	C0275904	Tuberculosis, Central Nervous System	Tuberculosis of the brain, spinal cord, or meninges (TUBERCULOSIS, MENINGEAL), most often caused by MYCOBACTERIUM TUBERCULOSIS and rarely by MYCOBACTERIUM BOVIS. The infection may be limited to the nervous system or coexist in other organs (e.g., TUBERCULOSIS, PULMONARY). The organism tends to seed the meninges causing a diffuse meningitis and leads to the formation of TUBERCULOMA, which may occur within the brain, spinal cord, or perimeningeal spaces. Tuberculous involvement of the vertebral column (TUBERCULOSIS, SPINAL) may result in nerve root or spinal cord compression. (From Adams et al., Principles of Neurology, 6th ed, pp717-20)	Unspecified tuberculosis of central nervous system, Tuberculosis of central nervous system, NOS, cns tuberculosis, Tuberculosis of central nervous system (disorder), Unspecified tuberculosis of central nervous system, unspecified, Central Nervous System Tuberculosis, Tuberculosis of central nervous system, Tuberculosis of central nervous system NOS	T047	Disease or Syndrome	1.0
vvpqywvHKN	Anaerobic Cellulitis	Cellulitis	DISEASE	C0007642	Cellulitis	An acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection of a wound, ulcer, or other skin lesions.	Cellulitis (disorder), CELLULITIS, Inflammation of subcutaneous tissue, Cellulitis (morphologic abnormality), cellulitis, Cellulitis, NOS, cellulitis nos, Subcutaneous tissue inflamed, Skin infection, Cellulitis, Cellulitis NOS	T047	Disease or Syndrome	1.0
sAm3EWq5Wc	Amebiasis	Amebiasis	DISEASE	C0002438	Amebiasis	Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur.	Amebiases, Disease caused by Endamoebidae, Amebic infection (disorder), Disease caused by Endamoebidae (disorder), Amebiasis NOS, Amoebic infection, amebiasis, AMEBIASIS, Amoebiasis, amebiases, Disease due to Endamoebidae, Amebic infection, amoebiasis, Amoebiases, Amebiasis, DISEASES DUE TO ENDAMOEBIDAE, Amebiasis, unspecified	T047	Disease or Syndrome	1.0
q43LqwaCYy	Infective arthritis	arthritis	DISEASE	C0003864	Arthritis	Acute or chronic inflammation of JOINTS.	inflammatory arthritis, Joint inflamed, Inflammatory arthritis, INFLAMMATORY ARTHROPATHIES, joint inflammation, Arthritides, JOINT INFLAMMATION, Arthritis, NOS, Joint inflammation, ARTHRITIS, Inflammation of joint NOS, Inflammatory arthropathy, Arthritis, inflammatory, arthritide, Arthritis, Arthritis (disorder), arthritides, arthritis	T047	Disease or Syndrome	1.0
XvmauKFRaS	Bunyaviridae infectious disease	Bunyaviridae infectious disease	DISEASE	C0006396	Bunyaviridae Infections	Virus diseases caused by the BUNYAVIRIDAE.	Disease due to Bunyavirus, Disease caused by Bunyaviridae (disorder), Disease caused by Bunyaviridae, DISEASES DUE TO BUNYAVIRIDAE, Disease due to Bunyaviridae, Disease caused by Bunyavirus, DISEASES DUE TO BUNYAVIRUS, Bunyaviridae Infection, Disease due to Bunyavirus, NOS, Infections, Bunyaviridae	T047	Disease or Syndrome	0.873
RysM7wZeS4	Oral tuberculosis	tuberculosis	DISEASE	C0041296	Tuberculosis	Any of the infectious diseases of man and other animals caused by species of MYCOBACTERIUM TUBERCULOSIS.	Tuberculous, TUBERCULOSIS, Koch Disease, Mycobacterium tuberculosis Infection, Infection, Mycobacterium tuberculosis, Mycobacterium tuberculosis Infections, Tuberculous (qualifier value), TB, tuberculous, INFECTION TUBERCULOSIS, tbc, TBC, tuberculosis, Tuberculosis, NOS, Infection due to Mycobacterium tuberculosis, Infection caused by Mycobacterium tuberculosis, tuberculosis infection, Tuberculosis (TB), Tuberculotic, INFECTION TBC, Kochs Disease, Infections, Mycobacterium tuberculosis, Tuberculoses, Koch's Disease, Infection caused by Mycobacterium tuberculosis (disorder), Tuberculosis, Tuberculosis (disorder), infection tuberculosis, tuberculosis (TB), tb, TB - Tuberculosis	T047	Disease or Syndrome	1.0
vF88L3VTNf	Plantar wart	Plantar wart	DISEASE	C0042548	Plantar wart	A wart in the plantar surface of the foot. It is caused by human papillomavirus.	Verruca plantaris, wart plantar, PLANTAR WARTS, Plantar warts, plantar's wart, verruca pedis, plantars wart, Plantar wart, verruca plantaris, warts plantar, VP - verruca pedis, plantar's warts, PLANTAR WART, Verruca plantaris (disorder), plantar wart, Plantar Warts, Verruca Plantaris, plantar warts, plantars warts, Verruca pedis	T047	Disease or Syndrome	1.0
3MP3i9NUye	Equine infectious anemia	Equine infectious anemia	DISEASE	C0014661	Equine Infectious Anemia	Viral disease of horses caused by the equine infectious anemia virus (EIAV; INFECTIOUS ANEMIA VIRUS, EQUINE). It is characterized by intermittent fever, weakness, and anemia. Chronic infection consists of acute episodes with remissions.	Anemia, Equine Infectious, Equine infectious anemia (disorder), Swamp fever, Fever, Swamp, Equine infectious anaemia, Infectious Anemia, Equine, Equine Infectious Anemia, equine infectious anemia (EIA), EIA, Fevers, Swamp, Anemias, Equine Infectious, Swamp Fevers, EIA - equine infectious anemia, Equine infectious anemia, Infectious Anemias, Equine, Swamp Fever, Equine Infectious Anemias, EIA - equine infectious anaemia, swamp fever of horses, equine infectious anemia	T047	Disease or Syndrome	1.0
scHWpeQz4i	Rhinoscleroma	Rhinoscleroma	DISEASE	C0035468	Rhinoscleroma	A granulomatous disease caused by KLEBSIELLA RHINOSCLEROMATIS infection. Despite its name, this disease is not limited to the nose and NASOPHARYNX but may affect any part of the RESPIRATORY TRACT, sometimes with extension to the lip and the skin.	Scleroma, Nasal, scleroma, Scleroma, rhinoscleroma, Rhinoscleroma (disorder), RHINOSCLEROMA, Infection by Klebsiella rhinoscleromatis, Rhinoscleroma	T047	Disease or Syndrome	1.0
fyoF33cW3P	Infective Endocarditis	Endocarditis	DISEASE	C0014118	Endocarditis	Inflammation of the inner lining of the heart (ENDOCARDIUM), the continuous membrane lining the four chambers and HEART VALVES. It is often caused by microorganisms including bacteria, viruses, fungi, and rickettsiae. Left untreated, endocarditis can damage heart valves and become life-threatening.	ENDOCARDITIS, Endocarditis, inflammation of the heart valve, Endocarditis, NOS, endocarditis, Endocarditis NOS, ENDOCARDITIDES, Endocarditis (disorder), Endocarditides	T047	Disease or Syndrome	1.0
u5ozcJT4b3	Septic Peritonitis	Septic Peritonitis	DISEASE	C0341503	Bacterial peritonitis	Peritonitis that is caused by a bacterial infection.	Septic peritonitis, bacterial peritonitis, Bacterial Peritonitis, Bacterial peritonitis, Bacterial peritonitis (disorder)	T047	Disease or Syndrome	1.0
REpLdzgBAF	Kaposi's Sarcoma	Kaposi's Sarcoma	DISEASE	C0036220	Kaposi Sarcoma	A multicentric, malignant neoplastic vascular proliferation characterized by the development of bluish-red cutaneous nodules, usually on the lower extremities, most often on the toes or feet, and slowly increasing in size and number and spreading to more proximal areas. The tumors have endothelium-lined channels and vascular spaces admixed with variably sized aggregates of spindle-shaped cells, and often remain confined to the skin and subcutaneous tissue, but widespread visceral involvement may occur. Kaposi's sarcoma occurs spontaneously in Jewish and Italian males in Europe and the United States. An aggressive variant in young children is endemic in some areas of Africa. A third form occurs in about 0.04% of kidney transplant patients. There is also a high incidence in AIDS patients. (From Dorland, 27th ed & Holland et al., Cancer Medicine, 3d ed, pp2105-7) HHV-8 is the suspected cause.	KS - Kaposi's sarcoma, Multiple haemorrhagic sarcoma, KAPOSIS SARCOMA, KAPOSI CANCER, SARCOMA, Kaposi's Sarcoma, Sarcoma, Kaposi, Kaposi Sarcoma, Multiple hemorrhagic sarcoma, Skin cancer, Kaposi sarcoma, SARCOMA, MULTIPLE IDIOPATHIC HEMORRHAGIC, Sarcoma, Kaposi's, Kaposi's sarcoma, unspecified, Kaposi's sarcoma (clinical), Kaposi's sarcoma, unspecified site, ks, sarcoma, Kaposi's, Kaposi sarcoma, Multiple Idiopathic Pigmented Hemangiosarcoma, sarcoma, multiple hemorrhagic, KAPOSI SARCOMA, Kaposi's sarcoma, kaposi sarcoma, multiple hemorrhagic sarcoma, KS, ENDOTHELIOSARCOMA, kaposi's sarcoma, Kaposi's sarcoma (disorder), HHV8, Kaposi sarcoma (morphologic abnormality), Kaposis Sarcoma, Multiple Hemorrhagic Sarcoma, HHV 8	T191	Neoplastic Process	1.0
uKaELkbgki	Parvoviridae infectious disease	infectious disease	DISEASE	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	T047	Disease or Syndrome	1.0
EdCX83cJiX	Staphylococcal pneumonia	Staphylococcal pneumonia	DISEASE	C0032308	Staphylococcal Pneumonia	Pneumonia caused by infections with bacteria of the genus STAPHYLOCOCCUS, usually with STAPHYLOCOCCUS AUREUS.	Staphylococcal Pneumonias, Pneumonia due to Staphylococcus, Staphylococcal pneumonia (disorder), Staphylococcal Pneumonia, PNEUMONIA STAPHYLOCOCCAL, STAPHYLOCOCCAL PNEUMONIA, Pneumonia, Staphylococcal, Pneumonia due to Staphylococcus, unspecified, pneumonia staphylococcal, Staphylococcal pneumonia, PNEUMONIA, STAPHYLOCOCCAL, staphylococcal pneumonia, Pneumonias, Staphylococcal	T047	Disease or Syndrome	1.0
LXT4zzgLRb	Viral Conjunctivitis	Viral Conjunctivitis	DISEASE	C0009774	Viral Conjunctivitis	Inflammation, often mild, of the conjunctiva caused by a variety of viral agents. Conjunctival involvement may be part of a systemic infection.	Viral Conjunctivitides, Viral conjunctivitis NOS, Viral conjunctivitis (disorder), Conjunctivitis, viral, Viral conjunctivitis, Viral conjunctivitis, NOS, Viral Conjunctivitis, Conjunctivitides, Viral, viral conjunctivitis, Conjunctivitis, Viral, conjunctivitis viral	T047	Disease or Syndrome	1.0
TNdYfcTmYc	Central nervous system infection	Central nervous system infection	DISEASE	C0007684	Central Nervous System Infection	Pathogenic infections of the brain, spinal cord, and meninges. DNA VIRUS INFECTIONS; RNA VIRUS INFECTIONS; BACTERIAL INFECTIONS; MYCOPLASMA INFECTIONS; SPIROCHAETALES INFECTIONS; fungal infections; PROTOZOAN INFECTIONS; HELMINTHIASIS; and PRION DISEASES may involve the central nervous system as a primary or secondary process.	Infections, Central Nervous System, CNS Infection, Infectious disease of central nervous system (disorder), Infection, CNS, Central Nervous System Infections, Infectious disease of central nervous system, Central Nervous System Infectious Disorder, central nervous system infection, Central nervous system--Infections, cns infections, central infection nervous system, cns infection, Infections, CNS, central infections nervous system, CNS Infections, Central Nervous System Infection, Central Nervous System Infectious Disease, Central nervous system infection	T047	Disease or Syndrome	1.0
6PWcCnd77X	Cutaneous Candidiasis	Candidiasis	DISEASE	C0006840	Candidiasis	Infection with a fungus of the genus CANDIDA. It is usually a superficial infection of the moist areas of the body and is generally caused by CANDIDA ALBICANS. (Dorland, 27th ed)	CANDIDIASIS, Candidiasis of unspecified site, MONILIASIS, Candidiasis (disorder), candida infections, Moniliasis, NOS, Moniliases, MONILIASIS MONILIA, muguet, Infection by Candida species, Monilia infection, monilial infection, candidosis, Moniliasis, thrush, moniliasis, candidal infections, Infection, Candida, candidal infection, candida infection, candidiasis, Candidosis, NOS, Candida Infections, Candidal infections, Candidiasis, NOS, Candidosis, Candida infection, Candidiases, Candida infections, candidiases, monilia infection, Candida Infection, Candidiasis	T047	Disease or Syndrome	1.0
YooWDv7A4c	Focal Epithelial hyperplasia	Epithelial hyperplasia	DISEASE	C0014599	Epithelial hyperplasia		Epithelial hyperplasia (morphologic abnormality), epithelial hyperplasia, Epithelial hyperplasia	T047	Disease or Syndrome	1.0
rS97skR3BL	Giardiasis	Giardiasis	DISEASE	C0017536	Giardiasis	An infection of the SMALL INTESTINE caused by the flagellated protozoan GIARDIA. It is spread via contaminated food and water and by direct person-to-person contact.	Infection due to Giardia, Infection caused by Giardia lamblia, Giardia Infections, Infection, Giardia, giardia, Lambliases, giardia infection, Giardiosis, lambliasis, Infection caused by Giardia lamblia (disorder), LAMBLIASIS, giardia infections, Giardiasis, GIARDIASIS INTESTINAL, giardiosis, Infections, Giardia, Lambliasis, GIARDIASIS, Giardiasis (disorder), INTESTINAL GIARDIASIS, Giardia Infection, giardiasis, Giardiases, Infection by Giardia lamblia	T047	Disease or Syndrome	1.0
9a2r5DqPAi	Amebic dysentery	Amebic dysentery	DISEASE	C0013370	Amebic colitis	DYSENTERY caused by intestinal amebic infection, chiefly with ENTAMOEBA HISTOLYTICA. This condition may be associated with amebic infection of the LIVER and other distant sites.	Amebic Colitides, Amebic dysentery (disorder), Amoebic Dysenteries, intestinal amebiasis, Amebic Colitis, Amoebiases, Intestinal, Intestinal Amebiasis, Amebic colitis (disorder), Amebic Dysenteries, Intestinal Amoebiasis, amoebic colitis, amoebiasis, amebic dysentery, amebiasis, amoebic dysentery, intestinal amoebiasis, Intestinal Amoebiases, AMEBIC DYSENTERY, Amoebic Colitides, Amebiasis, Colitides, Amoebic, Colitis, Amebic, amebic colitis, amoebiasis intestinal, Intestinal Entamoeba histolytica Infection, Intestinal Amebiases, dysentery amebic, Amebiases, Intestinal, Amebiasis, Intestinal, Amoebic Dysentery, Amoebic Colitis, Colitis, Amoebic, Dysenteries, Amebic, Amoebiasis, Intestinal, Amebic colitis, Amoebic colitis, Amebic dysentery, Dysenteries, Amoebic, Dysentery, Amoebic, Colitides, Amebic, Amoebic dysentery, amebiasis intestinal, Dysentery, Amebic, Amebic Dysentery	T047	Disease or Syndrome	1.0
CsBCCFEmDj	Chagas disease	Chagas disease	DISEASE	C0041234	Chagas Disease	Infection with the protozoan parasite TRYPANOSOMA CRUZI, a form of TRYPANOSOMIASIS endemic in Central and South America. It is named after the Brazilian physician Carlos Chagas, who discovered the parasite. Infection by the parasite (positive serologic result only) is distinguished from the clinical manifestations that develop years later, such as destruction of PARASYMPATHETIC GANGLIA; CHAGAS CARDIOMYOPATHY; and dysfunction of the ESOPHAGUS or COLON.	Trypanosoma cruzi Infections, South American Trypanosomiasis, American trypanosomiasis, CHAGAS DISEASE, chagas' disease, Chagas disease, chaga disease, Trypanosomiasis, American, Chagas-Mazza disease, Trypanosomiasis, South American, Chagas' disease, Infection by Trypanosoma cruzi, chaga diseases, TRYPANOSOMIASIS, AMERICAN, chagas diseases, t cruzi, Trypanosoma cruzi Infection, Infection caused by Trypanosoma cruzi (disorder), Infection, Trypanosoma cruzi, cruzi infection trypanosoma, chagas disease, infection by trypanosoma cruzi, TRYPANOSOMIASIS, BRAZILIAN, Chagas' Disease, American Trypanosomiasis, South American trypanosomiasis, t.cruzi, Infection caused by Trypanosoma cruzi, south American trypanosomiasis, Chagas Disease, Infections, Trypanosoma cruzi, disease chagas	T047	Disease or Syndrome	1.0
N6rYT9xXCb	Mucormycosis	Mucormycosis	DISEASE	C0026718	Mucormycosis	Infection in humans and animals caused by any fungus in the order MUCORALES (e.g., RHIZOPUS; MUCOR; CUNNINGHAMELLA; APOPHYSOMYCES; ABSIDIA; SAKSENAEA and RHIZOMUCOR) There are many clinical types associated with infection including central nervous system, lung, gastrointestinal tract, skin, orbit and paranasal sinuses. In humans, it usually occurs as an OPPORTUNISTIC INFECTION.	mucormycoses, MUCORMYCOSIS, Mucormycoses, Infection, Mucorales, Mucormycosis (disorder), Mucorales Infection, mucormycosis, Mucormycosis, Mucormycose, Mucorales Infections	T047	Disease or Syndrome	1.0
mLT7AoDhkw	Hordeolum	Hordeolum	DISEASE	C0019917	Hordeolum	Purulent infection of one of the sebaceous glands of Zeis along the eyelid margin (external) or of the meibomian gland on the conjunctival side of the eyelid (internal).	stye, Hordeolum, NOS, Hordeolum, hordeolum, Styes, Hordeola, Sty, sty, STY, HORDEOLUM, Stye of eyelid, Stye, Hordeolum (disorder), STYE, Hordeolum NOS, styes, Hordeolas	T047	Disease or Syndrome	1.0
gKinpKiHqm	Salmonella Gastroenteritis	Gastroenteritis	DISEASE	C0017160	Gastroenteritis	INFLAMMATION of any segment of the GASTROINTESTINAL TRACT from ESOPHAGUS to RECTUM. Causes of gastroenteritis are many including genetic, infection, HYPERSENSITIVITY, drug effects, and CANCER.	gastroenteritis, gastroenteritides, GE - Gastroenteritis, Gastrointestinal tract inflamed, Inflammation of the mucous membrane of the stomach and bowel, Inflammation of stomach and intestine (disorder), Gastroenteritides, Gastroenteritis, NOS, Inflammation of stomach and intestine, GASTROENTERITIS, Gastroenteritis, gastroenteritis nos	T047	Disease or Syndrome	1.0
gGyJSisZcm	Endophthalmitis	Endophthalmitis	DISEASE	C0014236	Endophthalmitis	Suppurative inflammation of the tissues of the internal structures of the eye frequently associated with an infection.	ophthalmia, Ophthalmias, Inflammatory disorder of the eye (disorder), Endophthalmitis (disorder), OPHTHALMITIS, Inflammatory disorder of the eye, Endophthalmitis, NOS, Ophthalmia, Endophthalmitides, ENDOPHTHALMITIS, Ophthalmitis, endophthalmitis, Endophthalmitis, Eye inflammation, Ophthalmitis, NOS, Ophthalmia, NOS	T047	Disease or Syndrome	1.0
f6cuiXG738	Reoviridae infectious disease	infectious disease	DISEASE	C0009450	Communicable Diseases	An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.	Communicable Disease, contagious disease, Infection, Transmissible disease, NOS, Disorder due to infection, Infective disorder, Disease, Communicable, communicable diseases, Contagious disease (navigational concept), Disease, Infectious, Diseases, Infectious, contagious diseases, Infectious Diseases and Manifestations, Infectious disease (disorder), Infectious Diseases, Communicable disease (navigational concept), Infectious Disease, Infectious or communicable disease, communicable disease, Disease due to infection, Infectious Disorder, Infectious, Communicable disease, infection, Communicable Diseases, Infectious disease, infectious diseases, microbial colonization, disease caused by microorganism, Communicable disease, NOS, communicable infectious disease, Infection, NOS, infectious disease, Contagious disease, NOS, Infectious diseases, Contagious disease, Infectious disease NOS, Communicable diseases, Diseases, Communicable, Infectious disease, NOS, Infection Unspecified	T047	Disease or Syndrome	1.0
