InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.Synonyms	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.MappingScore
3EV8xxoSgo	Amebic Liver/Hepatic abscesses	Amebic	DISEASE	C0002642	Amoeba genus	A genus of ameboid protozoa. Characteristics include a vesicular nucleus and the formation of several PSEUDOPODIA, one of which is dominant at a given time. Reproduction occurs asexually by binary fission.	Amebic, ameba, amoebic, Genus Amoeba, Amoebic, Amoeba, Ameba, Amoeba species, amoeba, AMEBA, Amoeba, NOS, Genus Amoeba (organism), amebic	T204	Eukaryote	1.0
o48GtpDFk6	Antiretroviral therapy (art) in adolescents and young adults with HIV infection	HIV infection	DISEASE	C0019693	HIV Infections	Includes the spectrum of human immunodeficiency virus infections that range from asymptomatic seropositivity, thru AIDS-related complex (ARC), to acquired immunodeficiency syndrome (AIDS).	DISEASES DUE TO IMMUNODEFICIENCY VIRUS, Infection, HIV, HIV seropositivity or positivity, HTLV III Infections, T-Lymphotropic Virus Type III Infections, Human, Infections, HTLV-III, Infection, HTLV-III-LAV, HTLV-III-LAV Infection, Infection, HTLV-III, HTLV-III-LAV Infections, HIV Infections, HIV - Human immunodeficiency virus infection, HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION, HTLV-III Infection, HTLV III LAV Infections, Human Immunodeficiency Virus Infection, Infections, HIV, Infections, HTLV-III-LAV, HIV Infection, HIV disease, HIV DISEASE, Human immunodeficiency virus disease, T Lymphotropic Virus Type III Infections, Human, hiv infection, Human immunodeficiency virus infection, NOS, Human immunodeficiency virus infection, Human immunodeficiency virus [HIV] disease, HIV infection, HIV, HIV infections, HTLV-III Infections, Human immunodeficiency virus infection (disorder)	T047	Disease or Syndrome	1.0
HrTHDGv5aX	Antiretroviral therapy (art) in pregnant people with HIV infection	HIV infection	DISEASE	C0019693	HIV Infections	Includes the spectrum of human immunodeficiency virus infections that range from asymptomatic seropositivity, thru AIDS-related complex (ARC), to acquired immunodeficiency syndrome (AIDS).	DISEASES DUE TO IMMUNODEFICIENCY VIRUS, Infection, HIV, HIV seropositivity or positivity, HTLV III Infections, T-Lymphotropic Virus Type III Infections, Human, Infections, HTLV-III, Infection, HTLV-III-LAV, HTLV-III-LAV Infection, Infection, HTLV-III, HTLV-III-LAV Infections, HIV Infections, HIV - Human immunodeficiency virus infection, HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION, HTLV-III Infection, HTLV III LAV Infections, Human Immunodeficiency Virus Infection, Infections, HIV, Infections, HTLV-III-LAV, HIV Infection, HIV disease, HIV DISEASE, Human immunodeficiency virus disease, T Lymphotropic Virus Type III Infections, Human, hiv infection, Human immunodeficiency virus infection, NOS, Human immunodeficiency virus infection, Human immunodeficiency virus [HIV] disease, HIV infection, HIV, HIV infections, HTLV-III Infections, Human immunodeficiency virus infection (disorder)	T047	Disease or Syndrome	1.0
VaAnUfBQny	Antiretroviral therapy (art) in Treatment-Naive patients with HIV infection	HIV infection	DISEASE	C0019693	HIV Infections	Includes the spectrum of human immunodeficiency virus infections that range from asymptomatic seropositivity, thru AIDS-related complex (ARC), to acquired immunodeficiency syndrome (AIDS).	DISEASES DUE TO IMMUNODEFICIENCY VIRUS, Infection, HIV, HIV seropositivity or positivity, HTLV III Infections, T-Lymphotropic Virus Type III Infections, Human, Infections, HTLV-III, Infection, HTLV-III-LAV, HTLV-III-LAV Infection, Infection, HTLV-III, HTLV-III-LAV Infections, HIV Infections, HIV - Human immunodeficiency virus infection, HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION, HTLV-III Infection, HTLV III LAV Infections, Human Immunodeficiency Virus Infection, Infections, HIV, Infections, HTLV-III-LAV, HIV Infection, HIV disease, HIV DISEASE, Human immunodeficiency virus disease, T Lymphotropic Virus Type III Infections, Human, hiv infection, Human immunodeficiency virus infection, NOS, Human immunodeficiency virus infection, Human immunodeficiency virus [HIV] disease, HIV infection, HIV, HIV infections, HTLV-III Infections, Human immunodeficiency virus infection (disorder)	T047	Disease or Syndrome	1.0
8Naiz8Je3u	Antiretroviral therapy for HIV infection	HIV infection	DISEASE	C0019693	HIV Infections	Includes the spectrum of human immunodeficiency virus infections that range from asymptomatic seropositivity, thru AIDS-related complex (ARC), to acquired immunodeficiency syndrome (AIDS).	DISEASES DUE TO IMMUNODEFICIENCY VIRUS, Infection, HIV, HIV seropositivity or positivity, HTLV III Infections, T-Lymphotropic Virus Type III Infections, Human, Infections, HTLV-III, Infection, HTLV-III-LAV, HTLV-III-LAV Infection, Infection, HTLV-III, HTLV-III-LAV Infections, HIV Infections, HIV - Human immunodeficiency virus infection, HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION, HTLV-III Infection, HTLV III LAV Infections, Human Immunodeficiency Virus Infection, Infections, HIV, Infections, HTLV-III-LAV, HIV Infection, HIV disease, HIV DISEASE, Human immunodeficiency virus disease, T Lymphotropic Virus Type III Infections, Human, hiv infection, Human immunodeficiency virus infection, NOS, Human immunodeficiency virus infection, Human immunodeficiency virus [HIV] disease, HIV infection, HIV, HIV infections, HTLV-III Infections, Human immunodeficiency virus infection (disorder)	T047	Disease or Syndrome	1.0
NmK8BTPj4L	Arcanobacterium Haemolyticum	Arcanobacterium	CHEMICAL	C0314862	Arcanobacterium	A genus of facultatively anaerobic, gram-positive bacteria in the family ACTINOMYCETACEAE, order ACTINOMYCETALES. They are obligate parasites of the PHARYNX in humans and farm animals.	Genus Arcanobacterium (organism), arcanobacterium, Arcanobacterium species, ARCANOBACTERIUM, Archanobacterium, Genus Arcanobacterium, Arcanibacterium, Arcanobacterium, Arcanobacterium, NOS	T007	Bacterium	1.0
ZbYjDdBYzG	Arthritis as a manifestation of systemic disease	Arthritis	DISEASE	C0003864	Arthritis	Acute or chronic inflammation of JOINTS.	inflammatory arthritis, Joint inflamed, Inflammatory arthritis, INFLAMMATORY ARTHROPATHIES, joint inflammation, Arthritides, JOINT INFLAMMATION, Arthritis, NOS, Joint inflammation, ARTHRITIS, Inflammation of joint NOS, Inflammatory arthropathy, Arthritis, inflammatory, arthritide, Arthritis, Arthritis (disorder), arthritides, arthritis	T047	Disease or Syndrome	1.0
XRt4zwJPNt	Aspergillosis	Aspergillosis	DISEASE	C0004030	Aspergillosis	Infections with fungi of the genus ASPERGILLUS.	ASPERGILLOSIS, Infections, Aspergillus, Infection due to Aspergillus, Aspergillosis, aspergillose, Aspergillosis, NOS, Aspergilloses, aspergillosis, aspergilloses, aspergillus infection, Infection, Aspergillus, Aspergillus Infection, Aspergillus infections, Aspergillus Infections, aspergillus infections, Aspergillosis (disorder)	T047	Disease or Syndrome	1.0
HcEAGjv7eZ	Aspiration Pneumonitis and pneumonia	Pneumonitis	DISEASE	C3714636	Pneumonitis	An inflammatory process affecting the lung parenchyma. It is a milder form of lung inflammation compared to pneumonia.	Inflammation, Lung, inflammation lung, Inflammations, Pulmonary, Pulmonary Inflammation, Pneumonitis (disorder), Lung Inflammations, Pneumonitides, Pulmonary Inflammations, Inflammations, Lung, Inflammation, Pulmonary, Lung Inflammation, PNEUMONITIS, Lung inflammation, Pulmonary inflammation, pulmonitis, pneumonias, pneumonitis, Pneumonitis	T047	Disease or Syndrome	1.0
HcEAGjv7eZ	Aspiration Pneumonitis and pneumonia	pneumonia	DISEASE	C0032285	Pneumonia	Infection of the lung often accompanied by inflammation.	Lung inflamed, Pulmonitis, PNEUMONIA, Pneumonias, Pneumonia (disorder), Pneumonia, NOS, Pneumonia, pneum, pulmonary inflammation, pneumonia, unspecified pneumonia, inflammation lungs, lung inflammation, Pulmonary inflammation, Pneumonitis, NOS	T047	Disease or Syndrome	1.0
z3HvVmsCSC	Asymmetric Periflexural Exanthem of childhood	Exanthem	DISEASE	C0015230	Exanthema	Diseases in which skin eruptions or rashes are a prominent manifestation. Classically, six such diseases were described with similar rashes; they were numbered in the order in which they were reported. Only the fourth (Duke's disease), fifth (ERYTHEMA INFECTIOSUM), and sixth (EXANTHEMA SUBITUM) numeric designations survive as occasional synonyms in current terminology.	Exanthem, Skin eruption, Rash and other nonspecific skin eruption, Eruption of skin, Eruption of skin (disorder), ERUPTION, Rash, NOS, Exanthemata, skin rash, exanthemas, Cutaneous Eruption, Skin Rash, SKIN ERUPTION, exanthems, efflorescence, Skin rash, Skin rashes, exanthem, cutaneous eruption on skin, rash, EXANTHEMA, Rash, Skin, Rashes, rashes, EXANTHEM, RASH, skin eruption, Eruption, exanthema, cutaneous eruptions, Cutaneous eruption, Exanthema, Breaking out - eruption, Cutaneous eruption, NOS, Rash, exanthemata, spots	T184	Sign or Symptom	1.0
44svynGq4i	B virus (Macacine Herpesvirus 1, herpes B)	Macacine Herpesvirus 1	DISEASE	C0019378	Herpesvirus 1, Cercopithecine	A species of SIMPLEXVIRUS that causes vesicular lesions of the mouth in monkeys. When the virus is transmitted to man it causes an acute encephalitis or encephalomyelitis, which is nearly always fatal.	herpes B virus, herpes b virus, herpes simiae, monkey B virus, Cercopithecid herpesvirus 1, Herpesviruses, Simian, herpesvirus simiae, monkey b virus, herpes b simian virus, Herpesvirus 1, Macacine, Cercopithecine herpesvirus 1, B Viruses, herpes virus B, Herpesvirus 1 (alpha), Cercopithecine, alphaherpesvirus 1, Macacine, Simian herpesvirus, Cercopithecine Herpesvirus 1, Simiae, Herpesvirus, Cercopithecid herpesvirus I, Herpes simiae, Herpes B Viruses, Herpesvirus simiae, b virus, Herpes Virus B, Macacine alphaherpesvirus 1, simian herpes B virus SHBV, Monkey B Virus, Herpesvirus B, Herpesvirus, Simian, Cercopithecine herpesvirus 1 (organism), Herpesvirus of cercopithecus monkeys, B Virus, Simian Herpesviruses, Macacine Herpesvirus 1, Simian herpes B virus, Herpesvirus Simiae, Macacine herpesvirus 1, Monkey B virus, Simian herpesvirus B, B virus, Simian Herpesvirus, Herpes B Virus, Monkey B Viruses, cercopithecine herpesvirus 1, virus b	T005	Virus	1.0
44svynGq4i	B virus (Macacine Herpesvirus 1, herpes B)	herpes B	CHEMICAL	C0019340	Herpes NOS		HERPES, herpes, Herpes	T047	Disease or Syndrome	0.903
AV9QGxp5NU	Bacterial Conjunctivitis (pink eye)	Conjunctivitis	DISEASE	C0009763	Conjunctivitis	INFLAMMATION of the CONJUNCTIVA.	Pink Eyes, Pink Eye, Conjunctivitis (disorder), Conjunctivitis, unspecified, conjunctivitis, inflammation of conjunctiva, conjunctiva inflammation, Pink eye disease, Inflammation of conjunctiva, Conjunctiva inflamed, CONJUNCTIVITIS, Conjunctivitis, Conjunctivitis, NOS, Conjunctivitides	T047	Disease or Syndrome	1.0
628rUynK74	Bacterial Endophthalmitis	Endophthalmitis	DISEASE	C0014236	Endophthalmitis	Suppurative inflammation of the tissues of the internal structures of the eye frequently associated with an infection.	ophthalmia, Ophthalmias, Inflammatory disorder of the eye (disorder), Endophthalmitis (disorder), OPHTHALMITIS, Inflammatory disorder of the eye, Endophthalmitis, NOS, Ophthalmia, Endophthalmitides, ENDOPHTHALMITIS, Ophthalmitis, endophthalmitis, Endophthalmitis, Eye inflammation, Ophthalmitis, NOS, Ophthalmia, NOS	T047	Disease or Syndrome	1.0
vnFyGDgVmG	Bacterial Gastroenteritis	Gastroenteritis	DISEASE	C0017160	Gastroenteritis	INFLAMMATION of any segment of the GASTROINTESTINAL TRACT from ESOPHAGUS to RECTUM. Causes of gastroenteritis are many including genetic, infection, HYPERSENSITIVITY, drug effects, and CANCER.	gastroenteritis, gastroenteritides, GE - Gastroenteritis, Gastrointestinal tract inflamed, Inflammation of the mucous membrane of the stomach and bowel, Inflammation of stomach and intestine (disorder), Gastroenteritides, Gastroenteritis, NOS, Inflammation of stomach and intestine, GASTROENTERITIS, Gastroenteritis, gastroenteritis nos	T047	Disease or Syndrome	1.0
rS9FAQ9VFP	Bacterial infections and pregnancy	infections	DISEASE	C0851162	Infections of musculoskeletal system		Musculoskeletal infective disorder, infections of the muscles or skeleton, Infections, Infection of musculoskeletal system, Musculoskeletal infective disorder (disorder)	T047	Disease or Syndrome	1.0
Hvt5dJRaZW	Bacterial Keratitis	Keratitis	DISEASE	C0022568	Keratitis	Inflammation of the cornea.	corneal inflammation, Keratitis, NOS, Keratitis (disorder), KERATITIS, INFLAMMATION CORNEAL, Cornea inflamed, Corneal keratitis, keratitis, Keratitides, Inflammation of cornea, Keratitis, CORNEAL INFLAMMATION, Corneal inflammation, Unspecified keratitis	T047	Disease or Syndrome	1.0
vsjBiKnq3G	Bacterial Meningitis Empiric therapy	Meningitis	DISEASE	C0025289	Meningitis	Inflammation of the coverings of the brain and/or spinal cord, which consist of the PIA MATER; ARACHNOID; and DURA MATER. Infections (viral, bacterial, and fungal) are the most common causes of this condition, but subarachnoid hemorrhage (HEMORRHAGES, SUBARACHNOID), chemical irritation (chemical MENINGITIS), granulomatous conditions, neoplastic conditions (CARCINOMATOUS MENINGITIS), and other inflammatory conditions may produce this syndrome. (From Joynt, Clinical Neurology, 1994, Ch24, p6)	Meningitis (disorder), MENINGITIS, meningitis, Meningitis of unspecified cause, Meningitides, Meningitis, unspecified, Inflammation of meninges, Meningitis, Meningitis, NOS, meningitides	T047	Disease or Syndrome	1.0
XnxKxMSH2r	Bacterial Meningitis Organism-Specific therapy	Meningitis	DISEASE	C0025289	Meningitis	Inflammation of the coverings of the brain and/or spinal cord, which consist of the PIA MATER; ARACHNOID; and DURA MATER. Infections (viral, bacterial, and fungal) are the most common causes of this condition, but subarachnoid hemorrhage (HEMORRHAGES, SUBARACHNOID), chemical irritation (chemical MENINGITIS), granulomatous conditions, neoplastic conditions (CARCINOMATOUS MENINGITIS), and other inflammatory conditions may produce this syndrome. (From Joynt, Clinical Neurology, 1994, Ch24, p6)	Meningitis (disorder), MENINGITIS, meningitis, Meningitis of unspecified cause, Meningitides, Meningitis, unspecified, Inflammation of meninges, Meningitis, Meningitis, NOS, meningitides	T047	Disease or Syndrome	1.0
NKCS5Y7oUy	Bacterial Overgrowth syndrome	Overgrowth syndrome	DISEASE	C2986703	Overgrowth Syndrome	A group of syndromes caused by genetic birth defects that may lead to the development of malignancies. It is characterized by a large body size or large body parts at birth, or excessive body growth early in childhood. Representative examples include neurofibromatosis, Beckwith-Wiedemann syndrome, and Sturge-Weber syndrome.	Overgrowth syndrome	T047	Disease or Syndrome	1.0
Ue5yzBPqy7	Bacterial Pharyngitis	Pharyngitis	DISEASE	C0031350	Pharyngitis	Inflammation of the throat (PHARYNX).	inflamed throats, inflammation throat, throat infection, throat inflamed, Pharyngitis, sore throat, PHARYNGEAL INFLAMMATION, PHARYNGITIS, infection throat, irritation of the throat, Pharyngitis (disorder), throat soreness, inflamed throat, soreness throat, throat inflammation, infections throat, Pharyngitides, pharyngitis, Pharyngitis, NOS, Pharynx inflamed	T047	Disease or Syndrome	1.0
5KLPEqsb27	Bacterial sepsis	sepsis	DISEASE	C0036690	Septicemia	Systemic disease associated with the presence of pathogenic microorganisms or their toxins in the blood.	septicaemia, blood poisoning, Blood Poisoning, Infection in blood stream, Septicemia NOS, Blood Poisonings, Sepsis, poisoning blood, Blood poisoning, NOS, BLOOD POISONING, Septicemia, NOS, SEPTICAEMIA, SEPTICEMIA, septicemia, Poisoning, Blood, Poisonings, Blood, Septicemia, Unspecified septicemia, Septicaemia, NOS, Septicemias	T047	Disease or Syndrome	1.0
STVq4yoi5z	Bacteroides infection	Bacteroides infection	DISEASE	C0004669	Bacteroides Infections	Infections with bacteria of the genus BACTEROIDES.	Infection caused by Bacteroides (disorder), Infections, Bacteroides, Infection due to Bacteroides, Infection, Bacteroides, Bacterial infection with bacteroides, Bacteroides Infection, Infection caused by Bacteroides	T047	Disease or Syndrome	1.0
FpAb2wXqfd	Bartonellosis (Bartonella infection)	Bartonella infection	DISEASE	C0004771	Bartonella Infections	Infections by the genus BARTONELLA. Bartonella bacilliformis can cause acute febrile anemia, designated Oroya fever, and a benign skin eruption, called verruga peruana. BARTONELLA QUINTANA causes TRENCH FEVER, while BARTONELLA HENSELAE is the etiologic agent of bacillary angiomatosis (ANGIOMATOSIS, BACILLARY) and is also one of the causes of CAT-SCRATCH DISEASE.	Bartonella Infection, Guaitara fever, bartonellosis, Bartonella infections, Bartonellosis (disorder), Bartonellosis, Bartonella Infections, Infections, Bartonella, Bartonelloses, Rochalimaea Infection, CARRION DISEASE, carrion's disease, bartonelliasis, Rochalimaea Infections, Infection, Bartonella, Bartonella infection, Infection, Rochalimaea, BARTONELLOSIS, Infections, Rochalimaea, Rochalimaea infection, Carrion's disease	T047	Disease or Syndrome	1.0
9HkWQng9ug	Blastomycosis	Blastomycosis	DISEASE	C0005716	Blastomycosis	A fungal infection that may appear in two forms: 1, a primary lesion characterized by the formation of a small cutaneous nodule and small nodules along the lymphatics that may heal within several months; and 2, chronic granulomatous lesions characterized by thick crusts, warty growths, and unusual vascularity and infection in the middle or upper lobes of the lung.	Blastomycosis, Blastomycotic infection, Blastomycosis (disorder), Blastomycosis, NOS, blastomycosis, blastomycoses, Blastomycoses, BLASTOMYCOSIS, Blastomycotic infection, NOS, Infection by Blastomyces, NOS, Infection by Blastomyces	T047	Disease or Syndrome	1.0
3DW5HFYQYu	Bocavirus	Bocavirus	CHEMICAL	C1641393	Bocavirus	A genus in the subfamily PARVOVIRINAE comprising three species: Bovine parvovirus, Canine minute virus, and HUMAN BOCAVIRUS.	Genus Bocavirus (organism), Bocaparvovirus, Genus Bocavirus, Bocavirus, Bocaviruses	T005	Virus	1.0
DdAq2yiRf9	Bowenoid Papulosis	Bowenoid Papulosis	DISEASE	C0334106	Bowenoid papulosis	Dysplastic papular lesions presenting on the genitalia of either sex. The lesions are associated with human papillomavirus infection. The majority of cases have a benign clinical course, although, a small number of cases with malignant transformation have been reported.	Bowenoid papulosis (disorder), Bowenoid papulosis, Bowenoid papulosis (morphologic abnormality), Bowenoid Papulosis	T191	Neoplastic Process	1.0
AUwH7N5QUu	Brain Abscess	Brain Abscess	DISEASE	C0006105	Brain Abscess	A circumscribed collection of purulent exudate in the brain, due to bacterial and other infections. The majority are caused by spread of infected material from a focus of suppuration elsewhere in the body, notably the PARANASAL SINUSES, middle ear (see EAR, MIDDLE); HEART (see also ENDOCARDITIS, BACTERIAL), and LUNG. Penetrating CRANIOCEREBRAL TRAUMA and NEUROSURGICAL PROCEDURES may also be associated with this condition. Clinical manifestations include HEADACHE; SEIZURES; focal neurologic deficits; and alterations of consciousness. (Adams et al., Principles of Neurology, 6th ed, pp712-6)	abscess brain, cerebral abscess, Brain Abscess, BRAIN, ABSCESS, Abscess, Brain, Abscess of brain, Brain Abscesses, Brain abscess, abscess cerebral, brain abscess, Abscess of brain (disorder), BRAIN ABSCESS, brain abscesses, Brain--Abscess	T047	Disease or Syndrome	1.0
iRQDFAASAL	Buruli ulcer	Buruli ulcer	DISEASE	C0085568	Buruli Ulcer	A lesion in the skin and subcutaneous tissues due to infections by MYCOBACTERIUM ULCERANS. It was first reported in Uganda, Africa.	Infection, Mycobacterium ulcerans, Disease, Buruli Ulcer, Mycobacterium ulcerans infection, Mycobacterium ulcerans Infections, Buruli ulcer (disorder), Ulcer, Buruli, SEARL ULCER, Buruli Ulcer, Buruli Ulcer Diseases, Skin infection by Mycobacterium ulcerans, Buruli Ulcer Disease, Cutaneous mycobacterium ulcerans infection, Buruli ulcer, Ulcer Disease, Buruli, Ulcer Diseases, Buruli, Diseases, Buruli Ulcer, Mycobacterium ulcerans Infection, Searles's ulcer, MYCOBACTERIUM ULCERANS INFECTION, Infection due to Mycobacterium ulcerans, BURULI ULCER, buruli ulcer, Infections, Mycobacterium ulcerans	T047	Disease or Syndrome	1.0
RMhw6R4coY	Cbrne - Staphylococcal Enterotoxin B	Enterotoxin B	DISEASE	C0014372	Enterotoxins	Substances that are toxic to the intestinal tract causing vomiting, diarrhea, etc.; most common enterotoxins are produced by bacteria.	Enterotoxin, enterotoxin, enterotoxins, Enterotoxins, Enterotoxin (substance)	T116,T131	Amino Acid, Peptide, or Protein,Hazardous or Poisonous Substance	0.924
QKkS2RaSNb	Cbrne - viral hemorrhagic fevers	hemorrhagic fevers	DISEASE	C0019104	Hemorrhagic Fevers, Viral	A group of viral diseases of diverse etiology but having many similar clinical characteristics; increased capillary permeability, leukopenia, and thrombocytopenia are common to all. Hemorrhagic fevers are characterized by sudden onset, fever, headache, generalized myalgia, backache, conjunctivitis, and severe prostration, followed by various hemorrhagic symptoms. Hemorrhagic fever with kidney involvement is HEMORRHAGIC FEVER WITH RENAL SYNDROME.	VHFs, hemorrhagic fever, viral hemorrhagic fever, Viral Hemorrhagic Fevers, Hemorrhagic Fever, haemorrhagic fever, Hemorrhagic fever, fever hemorrhagic, Hemorrhagic Fever, Viral, Viral hemorrhagic fever (disorder), VHF - Viral hemorrhagic fever, fever hemorrhagic viral, Fever, Viral Hemorrhagic, fevers haemorrhagic viral, Hemorrhagic Fevers, fevers hemorrhagic, Fevers, Viral Hemorrhagic, VHF - Viral haemorrhagic fever, Viral Hemorrhagic Fever, Viral hemorrhagic fever, viral hemorrhagic fevers, Viral haemorrhagic fever	T047	Disease or Syndrome	1.0
iM6PBLrV9N	Cns Cryptococcosis in HIV	Cryptococcosis	DISEASE	C0010414	Infection by Cryptococcus neoformans	An acute or chronic, localized or disseminated infection by Cryptococcus neoformans. Sites of involvement include the lungs, central nervous system and meninges, skin, and visceral organs.--2004	Busse-Buschke's disease, Infection, Cryptococcus neoformans, cryptococcus neoformans, TORULOSIS, Infection, C neoformans, C neoformans Infections, Busse-Buschke disease, Cryptococcosis, NOS, cryptococcus infection neoformans, Torula, torula, C neoformans Infection, C. neoformans Infection, cryptococcoses, torulosis, Infection, C. neoformans, Cryptococcosis, Infection by Cryptococcus neoformans, Infection due to Cryptococcus, cryptococcosis, C. neoformans Infections, Infections, C. neoformans, CRYPTOCOCCOSIS, Cryptococcus neoformans Infection, European blastomycosis, Cryptococcus neoformans Infections, Cryptococcosis (disorder), European cryptococcosis, Torulosis, European Blastomycosis	T047	Disease or Syndrome	1.0
